T_REC,NOAA_ARS,HARPNUM,MTOT,USFLUX,LON_MAX,LON_MIN,LAT_MAX,LAT_MIN,SIZE,LON,LAT,NormF,NormS
2012.03.16_16:00:00_TAI,11435,1471,2374139.75,2.734955e+21,24.370316,13.192622,-23.391634,-28.223051,3148.464111,18.781469,-25.8073425,0.16296255910841628,0.681995409867086
2012.03.16_17:00:00_TAI,11435,1471,2393039.0,2.745659e+21,24.991343,13.699954,-23.397291,-28.24057,3184.055176,19.3456485,-25.8189305,0.16360035798726308,0.689704865051116
2012.03.16_18:00:00_TAI,11435,1471,2411629.0,2.863961e+21,25.62323,14.218745,-23.396822,-28.29006,3223.501465,19.9209875,-25.843441,0.17064939413873317,0.6982494083858487
2012.03.16_19:00:00_TAI,11435,1471,2385407.0,3.014865e+21,26.176777,14.767534,-23.371309,-28.301332,3245.84375,20.4721555,-25.8363205,0.1796410236242993,0.703089017566308
2012.03.16_20:00:00_TAI,11435,1471,2384362.0,2.896349e+21,26.732977,15.286881,-23.35178,-28.307392,3240.55127,21.009929,-25.829586,0.17257923626206004,0.701942602381138
2012.03.16_21:00:00_TAI,11435,1471,2389254.0,2.927021e+21,27.276236,15.768683,-23.327761,-28.299318,3260.333008,21.5224595,-25.813539499999997,0.1744068303588453,0.706227566109344
2012.03.16_22:00:00_TAI,11435,1471,2373267.25,2.991682e+21,27.826214,16.28809,-23.331167,-28.303432,3255.893066,22.057152000000002,-25.8172995,0.17825966231933799,0.7052658209671661
2012.03.16_23:00:00_TAI,11435,1471,2390885.0,3.144423e+21,28.369164,16.808788,-23.307652,-28.285816,3259.794434,22.588976000000002,-25.796734,0.187360749628189,0.7061109044664209
2012.03.17_00:00:00_TAI,11435,1471,2415372.0,3.329311e+21,28.916208,17.34376,-23.272476,-28.29248,3263.498535,23.129984,-25.782478,0.19837731905197725,0.7069132575473591
2012.03.17_01:00:00_TAI,11435,1471,2528412.75,3.671631e+21,29.470575,17.90073,-23.216536,-28.272133,3275.953125,23.6856525,-25.7443345,0.21877448947488845,0.7096110723905077
2012.03.17_02:00:00_TAI,11435,1471,2666800.5,3.985099e+21,30.131432,18.464443,-23.126057,-28.270247,3340.39502,24.2979375,-25.698152,0.2374525106776494,0.7235699663285357
2012.03.17_03:00:00_TAI,11435,1471,2816247.75,4.253148e+21,30.759296,19.03166,-23.04423,-28.246679,3408.641357,24.895477999999997,-25.6454545,0.2534242363573962,0.738352948421814
2012.03.17_04:00:00_TAI,11435,1471,3000589.75,4.546658e+21,31.407024,19.535685,-22.990097,-28.223042,3490.250977,25.4713545,-25.6065695,0.27091305819318917,0.7560305792534767
2012.03.17_05:00:00_TAI,11435,1471,3289706.75,4.911967e+21,32.043552,19.869829,-22.939564,-28.245363,3648.536621,25.9566905,-25.5924635,0.29268003041223356,0.7903171643470477
2012.03.17_06:00:00_TAI,11435,1471,3533134.5,5.57423e+21,32.668777,20.316872,-22.906477,-28.314968,3791.996582,26.492824499999998,-25.6107225,0.3321410355413187,0.8213923271732283
2012.03.17_09:00:00_TAI,11435,1471,4089393.5,7.380958e+21,34.452343,21.675106,-22.86842,-28.471315,3995.278809,28.0637245,-25.669867500000002,0.43979509876825684,0.8654257164175877
2012.03.17_10:00:00_TAI,11435,1471,4302614.0,7.045865e+21,35.054527,22.097462,-22.864336,-28.64963,4160.124512,28.5759945,-25.756982999999998,0.419828549841742,0.9011332896402043
2012.03.17_11:00:00_TAI,11435,1471,4429945.0,7.409426e+21,35.625298,22.603504,-22.841112,-28.719776,4233.789551,29.114401,-25.780444,0.4414913673111391,0.9170900281306179
2012.03.17_12:00:00_TAI,11435,1471,4530257.5,7.829529e+21,36.198067,23.116062,-22.825916,-28.748125,4276.030762,29.6570645,-25.7870205,0.466523245338062,0.9262399853775746
2012.03.17_13:00:00_TAI,11435,1471,4598112.5,8.203769e+21,36.759918,23.648096,-22.819143,-28.754362,4301.799805,30.204006999999997,-25.7867525,0.4888223720588796,0.931821871790466
2012.03.17_14:00:00_TAI,11435,1471,4593906.5,8.327305e+21,37.334671,24.103199,-22.813824,-28.776339,4332.368652,30.718935000000002,-25.795081500000002,0.49618327660832096,0.938443453807581
2012.03.17_15:00:00_TAI,11435,1471,4626318.0,8.298914e+21,37.891041,24.580198,-22.817152,-28.781122,4351.519043,31.2356195,-25.799137,0.49449159611791177,0.9425916601388934
2012.03.17_16:00:00_TAI,11435,1471,4649703.5,8.486492e+21,38.44212,25.035263,-22.832951,-28.786718,4370.227539,31.7386915,-25.8098345,0.5056684494527705,0.9466441466680997
2012.03.17_17:00:00_TAI,11435,1471,4674168.5,8.469467e+21,38.988075,25.494604,-22.836628,-28.808758,4384.004883,32.2413395,-25.822693,0.5046540131754567,0.9496284860275135
2012.03.17_18:00:00_TAI,11435,1471,4713085.5,9.160628e+21,39.53577,25.981897,-22.815472,-28.789177,4403.149902,32.7588335,-25.802324499999997,0.5458369084391564,0.953775528718647
2012.03.17_19:00:00_TAI,11435,1471,4691085.5,9.254982e+21,40.094128,26.411674,-22.788925,-28.809526,4454.57373,33.252901,-25.7992255,0.5514590006864203,0.9649145518795798
2012.03.17_20:00:00_TAI,11435,1471,4632383.5,9.145444e+21,40.662457,26.872234,-22.776169,-28.863489,4502.759277,33.767345500000005,-25.819829,0.5449321683255158,0.9753521242060742
2012.03.17_21:00:00_TAI,11435,1471,4584766.0,9.088947e+21,41.229488,27.346287,-22.773586,-28.888065,4516.370605,34.287887500000004,-25.830825500000003,0.5415657890973573,0.9783005024917797
2012.03.17_22:00:00_TAI,11435,1471,4491128.0,9.380287e+21,41.788723,27.868586,-22.771666,-28.942154,4537.726074,34.8286545,-25.85691,0.5589253112725471,0.9829263553902372
2012.03.17_23:00:00_TAI,11435,1471,4391929.5,9.494144e+21,42.352348,28.314316,-22.753252,-29.002941,4568.543457,35.333332,-25.878096499999998,0.5657094916676201,0.9896017733112121
2012.03.18_00:00:00_TAI,11435,1471,4320511.0,9.598426e+21,42.903362,28.849457,-22.744593,-29.004673,4547.785156,35.8764095,-25.874633,0.5719231447584181,0.9851052742248234
2012.03.18_01:00:00_TAI,11435,1471,4324555.0,9.842125e+21,43.447567,29.339531,-22.740934,-29.003292,4519.524414,36.393549,-25.872113,0.5864439733249438,0.9789836556692554
2012.03.18_02:00:00_TAI,11435,1471,4358310.5,1.003752e+22,43.977501,29.841837,-22.752304,-28.995567,4488.762695,36.909669,-25.8739355,0.5980866033634595,0.9723202952439851
2012.03.18_03:00:00_TAI,11435,1471,4511636.5,1.062365e+22,44.511086,30.362349,-22.762188,-29.002741,4461.724121,37.4367175,-25.882464499999998,0.6330112162986691,0.9664634130604067
2012.03.18_04:00:00_TAI,11435,1471,4672534.5,1.101376e+22,45.046337,30.886532,-22.768423,-29.086617,4467.368164,37.9664345,-25.92752,0.6562559585097052,0.9676859810438385
2012.03.18_05:00:00_TAI,11435,1471,4846261.0,1.115304e+22,45.579189,31.35969,-22.717587,-29.194017,4522.69873,38.4694395,-25.955802,0.6645549708271364,0.979671250910981
2012.03.18_06:00:00_TAI,11435,1471,5003069.0,1.144215e+22,46.136818,31.81039,-22.678614,-29.265457,4581.269043,38.973604,-25.9720355,0.6817816182358998,0.9923582891658943
2012.03.18_09:00:00_TAI,11435,1471,5100919.0,1.285324e+22,47.92572,33.343384,-22.69087,-29.302923,4545.602051,40.634552,-25.9968965,0.7658615528352972,0.9846323872752608
2012.03.18_12:00:00_TAI,11435,1471,5083181.0,1.239131e+22,49.734764,34.915371,-22.722658,-29.473999,4616.547363,42.3250675,-26.0983285,0.7383374089539717,1.0
